"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-11","Nov-1961","IDX","Index","0","Units",,,101.7581,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1961-12","Dec-1961","IDX","Index","0","Units",,,101.8688,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-01","Jan-1962","IDX","Index","0","Units",,,101.786,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-02","Feb-1962","IDX","Index","0","Units",,,101.5935,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-03","Mar-1962","IDX","Index","0","Units",,,101.1945,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-04","Apr-1962","IDX","Index","0","Units",,,100.5456,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-05","May-1962","IDX","Index","0","Units",,,99.95208,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-06","Jun-1962","IDX","Index","0","Units",,,99.56641,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-07","Jul-1962","IDX","Index","0","Units",,,99.37618,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-08","Aug-1962","IDX","Index","0","Units",,,99.29693,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-09","Sep-1962","IDX","Index","0","Units",,,99.40424,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-10","Oct-1962","IDX","Index","0","Units",,,99.69948,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-11","Nov-1962","IDX","Index","0","Units",,,100.107,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1962-12","Dec-1962","IDX","Index","0","Units",,,100.4295,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1963-01","Jan-1963","IDX","Index","0","Units",,,100.4846,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1963-02","Feb-1963","IDX","Index","0","Units",,,100.492,,
